team1,team2,toss_winner,toss_decision,winner,player_of_match,venue,city,team1_players,team2_players,season,match_number,match_type,result,result_margin,target_runs,target_overs,super_over
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,S Anirudha,"MA Chidambaram Stadium, Chepauk",Chennai,"S Anirudha, M Vijay, SK Raina, MS Dhoni, JA Morkel, SB Styris, S Badrinath, R Ashwin, SB Jakati, TG Southee, S Randiv","MS Bisla, JH Kallis, YK Pathan, MK Tiwary, EJG Morgan, G Gambhir, LR Shukla, R Bhatia, Iqbal Abdulla, L Balaji, S Ladda",4,1,League,runs,2.0,154.0,20.0,N
Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,SR Tendulkar,M Chinnaswamy Stadium,Bangalore,"MA Agarwal, TM Dilshan, V Kohli, AB de Villiers, AUK Pathan, SS Tiwary, CA Pujara, Z Khan, DL Vettori, DP Nannes, A Mithun","DJ Jacobs, SR Tendulkar, AT Rayudu, RG Sharma, KA Pollard, JEC Franklin, R Sathish, Harbhajan Singh, AG Murtaza, MM Patel, SL Malinga",4,7,League,wickets,6.0,152.0,20.0,N
Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,field,Kings XI Punjab,PC Valthaty,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"PC Valthaty, AC Gilchrist, SE Marsh, Sunny Singh, AM Nayar, KD Karthik, R McLaren, P Kumar, RJ Harris, PP Chawla, BA Bhatt","S Anirudha, M Vijay, SK Raina, S Badrinath, MS Dhoni, SB Styris, JA Morkel, R Ashwin, SB Jakati, TG Southee, S Randiv",4,10,League,wickets,4.0,149.0,20.0,N
Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,G Gambhir,Sawai Mansingh Stadium,Jaipur,"AG Paunikar, R Dravid, AL Menaria, SR Watson, LRPL Taylor, J Botha, AS Raut, SK Warne, A Singh, SK Trivedi, ND Doshi","MS Bisla, JH Kallis, G Gambhir, MK Tiwary, YK Pathan, EJG Morgan, Shakib Al Hasan, Iqbal Abdulla, R Bhatia, B Lee, L Balaji",4,13,League,wickets,8.0,183.0,20.0,N
Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,Chennai Super Kings,MEK Hussey,"MA Chidambaram Stadium, Chepauk",Chennai,"MEK Hussey, M Vijay, SK Raina, MS Dhoni, JA Morkel, S Badrinath, S Anirudha, R Ashwin, SB Jakati, TG Southee, S Randiv","MA Agarwal, TM Dilshan, AUK Pathan, V Kohli, AB de Villiers, SS Tiwary, CA Pujara, JJ van der Wath, DL Vettori, R Ninan, Z Khan",4,14,League,runs,21.0,184.0,20.0,N
Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,L Balaji,Eden Gardens,Kolkata,"JH Kallis, MS Bisla, G Gambhir, MK Tiwary, YK Pathan, EJG Morgan, Shakib Al Hasan, Iqbal Abdulla, R Bhatia, B Lee, L Balaji","SR Watson, AG Paunikar, FY Fazal, AS Raut, AL Menaria, LRPL Taylor, AM Rahane, SK Warne, A Singh, SW Tait, SK Trivedi",4,17,League,wickets,8.0,82.0,20.0,N
Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,Kings XI Punjab,SE Marsh,"Punjab Cricket Association Stadium, Mohali",Chandigarh,"AC Gilchrist, PC Valthaty, SE Marsh, KD Karthik, AM Nayar, R McLaren, Sunny Singh, PP Chawla, RJ Harris, P Kumar, BA Bhatt","SA Asnodkar, R Dravid, SR Watson, STR Binny, LRPL Taylor, AL Menaria, AS Raut, DH Yagnik, SK Warne, SW Tait, SK Trivedi",4,22,League,runs,48.0,196.0,20.0,N
Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,Harbhajan Singh,Wankhede Stadium,Mumbai,"R Sathish, SR Tendulkar, AT Rayudu, RG Sharma, A Symonds, KA Pollard, JEC Franklin, Harbhajan Singh, AN Ahmed, MM Patel, SL Malinga","MEK Hussey, M Vijay, SK Raina, S Badrinath, MS Dhoni, S Anirudha, JA Morkel, R Ashwin, Joginder Sharma, S Randiv, DE Bollinger",4,23,League,runs,8.0,165.0,20.0,N
Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,CH Gayle,Eden Gardens,Kolkata,"JH Kallis, BJ Haddin, G Gambhir, YK Pathan, EJG Morgan, MK Tiwary, Shakib Al Hasan, R Bhatia, Iqbal Abdulla, JD Unadkat, L Balaji","TM Dilshan, CH Gayle, V Kohli, AB de Villiers, SS Tiwary, CA Pujara, Z Khan, AUK Pathan, DL Vettori, S Aravind, J Syed Mohammad",4,24,League,wickets,9.0,172.0,20.0,N
Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,Rajasthan Royals,J Botha,Sawai Mansingh Stadium,Jaipur,"SR Watson, R Dravid, J Botha, LRPL Taylor, AL Menaria, AM Rahane, A Singh, DH Yagnik, SK Warne, STR Binny, SK Trivedi","DJ Jacobs, SR Tendulkar, AT Rayudu, RG Sharma, A Symonds, KA Pollard, R Sathish, Harbhajan Singh, SL Malinga, AG Murtaza, MM Patel",4,34,League,runs,26.0,182.0,20.0,N
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,field,Kolkata Knight Riders,Iqbal Abdulla,Eden Gardens,Kolkata,"JH Kallis, EJG Morgan, G Gambhir, MK Tiwary, SP Goswami, YK Pathan, R Bhatia, RN ten Doeschate, Iqbal Abdulla, L Balaji, B Lee","AC Gilchrist, PC Valthaty, SE Marsh, KD Karthik, AM Nayar, DJ Hussey, Bipul Sharma, P Kumar, PP Chawla, BA Bhatt, RJ Harris",4,35,League,runs,38.0,158.0,20.0,N
Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,Mumbai Indians,KA Pollard,Wankhede Stadium,Mumbai,"DJ Jacobs, SR Tendulkar, AT Rayudu, KA Pollard, RG Sharma, A Symonds, TL Suman, Harbhajan Singh, MM Patel, SL Malinga, AN Ahmed","PC Valthaty, AC Gilchrist, SE Marsh, DJ Hussey, KD Karthik, AM Nayar, Bipul Sharma, PP Chawla, RJ Harris, P Kumar, BA Bhatt",4,40,League,wickets,7.0,141.0,20.0,N
